id	emotion
34170_0002_A_12	0.012768270447850227,0.015051975846290588,0.1047024205327034,0.011553729884326458,0.0719161182641983,0.15879368782043457
34170_0002_A_14	0.0030106264166533947,0.002574578858911991,0.02021017111837864,0.05404418706893921,0.09076735377311707,0.39864206314086914
34170_0003_A_16	0.012103961780667305,0.019572891294956207,0.015358664095401764,0.043378397822380066,0.11526884138584137,0.030632194131612778
34170_0003_A_17	0.08836838603019714,0.008623330853879452,0.011395810171961784,0.03950782120227814,0.1954064965248108,0.8128358125686646
34170_0003_A_18	0.03621571511030197,0.005680045112967491,0.04129718616604805,0.10419577360153198,0.5406317114830017,1.0979385375976562
34170_0003_A_20	0.029163841158151627,0.014651836827397346,0.1576668918132782,0.03571804612874985,0.098788782954216,0.9818776845932007
34170_0003_A_21	0.011439803056418896,0.01148106250911951,0.05206894874572754,0.020705707371234894,0.306103378534317,0.19408348202705383
34170_0004_A_24	0.4413965940475464,0.06601928919553757,0.0413682721555233,0.0032821246422827244,0.02796841599047184,0.1358824074268341
34170_0004_A_25	2.234797239303589,0.20288541913032532,0.007518766913563013,0.007804160937666893,0.025344885885715485,0.6313141584396362
34170_0004_A_26	1.8097361326217651,0.1559065878391266,0.009071020409464836,0.00524490000680089,0.035197190940380096,0.548138439655304
34170_0004_A_27	0.04555302485823631,0.027780471369624138,0.022627905011177063,0.00688597746193409,0.08463924378156662,0.11783657968044281
34170_0004_A_28	0.08891886472702026,0.006248386111110449,0.006975852884352207,0.09613262861967087,0.49364173412323,0.35881245136260986
34170_0005_A_31	0.14437055587768555,0.5195713043212891,0.017335232347249985,0.005554935894906521,0.02693813666701317,0.08139456808567047
34170_0005_A_33	0.02667449414730072,0.049823787063360214,0.01165811251848936,0.03454277664422989,0.035375840961933136,0.11390244960784912
34170_0005_A_35	0.020645130425691605,0.011058649979531765,0.054641950875520706,0.4770377278327942,0.12513208389282227,0.4744844436645508
34170_0004_A_29	0.056504227221012115,0.003826527390629053,0.013696644455194473,0.05269256979227066,0.6608694195747375,0.49784258008003235
34170_0005_A_34	0.4627768099308014,0.19836828112602234,0.0057988241314888,0.03975812345743179,0.022282999008893967,0.16296419501304626
34170_0005_A_36	0.043796129524707794,0.018854325637221336,0.005134757608175278,0.03773931413888931,0.0755624994635582,0.1255517601966858
34170_0005_A_32	0.013661075383424759,0.030877651646733284,0.004553241189569235,0.012091775424778461,0.10857769846916199,0.03020884096622467
34170_0007_A_42	0.0043123275972902775,0.017416883260011673,0.012018464505672455,0.004164264537394047,0.040505003184080124,0.07606256753206253
34170_0007_A_43	0.0018393092323094606,0.014867965131998062,0.007048175670206547,0.017094412818551064,0.033672869205474854,0.0049604615196585655
34170_0007_A_44	0.0019784073811024427,0.025955993682146072,0.05581890419125557,0.050903622061014175,0.038207389414310455,0.8577518463134766
34170_0007_A_45	0.004254593513906002,0.07623794674873352,0.07001236826181412,0.011366719380021095,0.048747316002845764,0.019428759813308716
34170_0007_A_46	0.041795067489147186,1.9326395988464355,0.037811364978551865,0.02118123322725296,0.009248975664377213,0.1371995061635971
34170_0007_A_47	0.002150262240320444,0.03489037975668907,0.008996076881885529,0.0696355551481247,0.03190253674983978,0.026025470346212387
34170_0008_A_49	0.01731340028345585,0.03976042568683624,0.010240862146019936,0.008683477528393269,0.03450281172990799,0.03655647113919258
34170_0008_A_50	0.0032689624931663275,0.008264625445008278,0.012562899850308895,0.017658710479736328,0.03751418739557266,0.05520930886268616
34170_0008_A_51	0.19283773005008698,0.36832571029663086,0.011675485409796238,0.011779392138123512,0.05763939023017883,0.18813206255435944
34170_0009_A_54	0.013760522939264774,0.020058315247297287,0.003447239985689521,0.0041277846321463585,0.0888514593243599,0.02250293828547001
34170_0009_A_56	0.018331820145249367,0.02447667345404625,0.0018705572001636028,0.06564207375049591,0.16660091280937195,0.06406877934932709
34170_0009_A_58	0.02252247929573059,0.03614217787981033,0.003074419917538762,0.007645555771887302,0.11994384229183197,0.055639900267124176
34170_0009_A_59	0.008680051192641258,0.04363488405942917,0.0365760400891304,0.020168690010905266,0.007970970124006271,0.013110578060150146
34170_0009_A_60	0.022541578859090805,0.11441141366958618,0.010779894888401031,0.010135813616216183,0.03279516473412514,0.032057251781225204
34170_0009_A_61	0.010438952594995499,0.09479790925979614,0.019991816952824593,0.04814869165420532,0.027509931474924088,0.2896498441696167
34170_0009_A_62	0.011830942705273628,0.06079043447971344,0.011826252564787865,0.005318196956068277,0.04108112305402756,0.01595132425427437
34170_0009_A_63	0.020551715046167374,0.09166868031024933,0.009473864920437336,0.008316517807543278,0.03936750069260597,0.020039988681674004
34170_0009_A_64	0.02390628680586815,0.01896299421787262,0.05437048524618149,0.05450824275612831,0.08023656159639359,0.6094273328781128
34170_0010_A_66	0.00802554190158844,0.012423783540725708,0.0047641717828810215,0.015325462445616722,0.017845313996076584,0.01053147204220295
34170_0010_A_67	0.003983539529144764,0.019569944590330124,0.003983964212238789,0.006030363962054253,0.02334117703139782,0.014502482488751411
34170_0011_A_71	0.01976718008518219,0.014618314802646637,0.008091629482805729,0.0070300353690981865,0.15371271967887878,0.018022693693637848
34170_0011_A_74	0.006956919562071562,0.014271428808569908,0.03265523910522461,0.00659559853374958,0.15741057693958282,0.03666668385267258
34170_0011_A_76	0.02140307053923607,0.020292986184358597,0.01852104812860489,0.09451404958963394,0.35753822326660156,0.05904848128557205
34170_0011_A_78	0.019830569624900818,0.03149661049246788,0.0032162372954189777,0.013049367815256119,0.021540943533182144,0.05929332599043846
34170_0011_A_80	0.030670182779431343,0.04180357605218887,0.007317960262298584,0.008335784077644348,0.016830410808324814,0.08266834914684296
34170_0011_A_81	0.010340704582631588,0.20442098379135132,0.03956787288188934,0.024133633822202682,0.031752053648233414,0.041338689625263214
34170_0012_A_83	0.005191906355321407,0.006335505284368992,0.0021679550409317017,0.006362613290548325,0.023839332163333893,0.022575344890356064
34170_0012_A_84	0.006247134413570166,0.03504374995827675,0.005900475662201643,0.010942830704152584,0.017032917588949203,0.007943100295960903
34170_0012_A_85	0.0075622498989105225,0.01921580731868744,0.0059941960498690605,0.008575711399316788,0.017571525648236275,0.013027546927332878
34170_0012_A_86	0.007235200144350529,0.016864392906427383,0.0044588353484869,0.00972580537199974,0.012465530075132847,0.009072625078260899
34170_0012_A_87	0.006852441467344761,0.017009425908327103,0.004725112114101648,0.009713903069496155,0.017199913039803505,0.008598895743489265
34170_0012_A_88	0.005033435765653849,0.01681273803114891,0.006187768187373877,0.009874182753264904,0.015596961602568626,0.016493333503603935
34170_0012_A_89	0.0067328764125704765,0.01915852352976799,0.005891062319278717,0.008945836685597897,0.01616891846060753,0.010996171273291111
34170_0012_A_90	0.003106403863057494,0.12881341576576233,0.0038594654761254787,0.1261705607175827,0.02347331866621971,0.010397886857390404
34170_0012_A_92	0.012597025372087955,0.06547688692808151,0.0065056877210736275,0.03843074291944504,0.04901346564292908,0.041505198925733566
34170_0012_A_94	0.0028525269590318203,0.10825791954994202,0.007251976989209652,0.06141619384288788,0.02304433286190033,0.029731813818216324
34170_0012_A_96	0.007152381353080273,0.21819338202476501,0.027937889099121094,0.03924139216542244,0.040736597031354904,0.05014379695057869
34170_0012_A_98	0.005226057022809982,0.1452728509902954,0.029467172920703888,0.03988749906420708,0.01779547706246376,0.019845230504870415
34170_0012_A_99	0.012026224285364151,0.03173089399933815,0.006287627853453159,0.023166703060269356,0.0885479599237442,0.07064278423786163
34170_0012_A_100	0.014939471147954464,0.0380726158618927,0.04178013652563095,0.10785314440727234,0.30130696296691895,0.035697758197784424
34170_0012_A_101	0.2930513024330139,0.016031600534915924,0.0022077104076743126,0.022157207131385803,0.24039879441261292,0.6724427342414856
34170_0013_A_103	0.004823343828320503,0.012622347101569176,0.009501161053776741,0.012769494205713272,0.06625023484230042,0.023252490907907486
34170_0013_A_104	0.0034493454732000828,0.017224760726094246,0.007729267701506615,0.013353338465094566,0.05144347995519638,0.016064001247286797
34170_0013_A_105	0.004296588711440563,0.016711771488189697,0.012943941168487072,0.011536150239408016,0.05439513176679611,0.01954299584031105
34170_0013_A_106	0.010684778913855553,0.01603858172893524,0.031143978238105774,0.015687767416238785,0.07365939766168594,0.04640915244817734
34170_0013_A_107	0.022358329966664314,0.020332813262939453,0.018229594454169273,0.03042895719408989,0.23986580967903137,0.1468450278043747
34170_0013_A_108	0.006907142233103514,0.13468751311302185,0.07688859105110168,0.0768987387418747,0.0316300131380558,0.07708607614040375
34170_0013_A_109	0.0054767681285738945,0.07296525686979294,0.02148008532822132,0.02056039497256279,0.017398059368133545,0.10746771097183228
34170_0013_A_110	0.017339225858449936,0.010962030850350857,0.006453692447394133,0.029508594423532486,0.268524169921875,0.07487878948450089
34170_0014_A_112	0.04740331321954727,0.2112988829612732,0.01378341019153595,0.03091992437839508,0.4492495059967041,0.07470902800559998
34170_0014_A_113	0.027705397456884384,0.05929124355316162,0.0056072380393743515,0.02551456354558468,0.13999170064926147,0.0181124284863472
34170_0015_A_115	0.015229652635753155,0.08948531746864319,0.07801041007041931,0.012033571489155293,0.038687415421009064,0.057301923632621765
34170_0015_A_116	0.03165898099541664,0.06525218486785889,0.014315452426671982,0.025485774502158165,0.033175233751535416,0.17096218466758728
34170_0015_A_117	0.10360772162675858,2.0629398822784424,0.029356950893998146,0.03307341784238815,0.011873510666191578,0.2769258916378021
34170_0015_A_118	0.056234247982501984,0.0815487951040268,0.0029003291856497526,0.05244118720293045,0.019287634640932083,0.14635850489139557
34170_0015_A_119	0.020576905459165573,0.4542613625526428,0.005823299288749695,0.03665781021118164,0.013834461569786072,0.19161170721054077
34170_0015_A_120	0.007783844135701656,0.030839920043945312,0.015362737700343132,0.029264982789754868,0.14284661412239075,0.03963982313871384
34170_0015_A_121	0.02374919131398201,0.3418693542480469,0.03219450265169144,0.017986081540584564,0.025506362318992615,0.10297931730747223
